Number,Date,Truck,Length,Route,Ref,Price,BAF,Voucher,INVOICE
1186,"30,10,2013",B-44-DTK,16.5,do -ca,DO24254917,135,14.56,254507,"1,886.00 €"
1187,"30,10,2013",CJ-14-LNK ,16.5,do -ca,DO24254918,135,14.56,254508,"1,886.00 €"
1188,"30,10,2013",HD77BET,16.5,CA -DO,CA20293109,135,14.56,254509,"1,886.00 €"
1189,"30,10,2013",HD 77 BET,16.5,DO -CA,DO24254927,135,14.56,254510,"2,021.00 €"
1190,"30,10,2013",B 40 RJI,16.5,DO -CA,DO24256074,135,14.56,254511,"1,886.00 €"
1191,"30,10,2013",B 40 RJI,16.5,CA- DO,CA20294077,135,14.56,254512,"2,021.00 €"
1192,30.10.2013,IF 08 TDS,16.5,DO - CA,DO24256618,135,14.56,254513,"1,886.00 €"
1193,"31,10,2013",CJ-14-FWH,16.5,CA- DO,CA20294898,135,14.56,254514,"1,886.00 €"
1194,31.10.2013,B 40 RJI,16.5,CA - DO,CA20295925,135,15.75,254515,"2,021.00 €"
1195,31.10.2013,B 40 RJI,16.5,DO - CA,DO24258468,135,15.75,254516,"2,021.00 €"
1196,"01,11,2013",CJ 49 CNT,16.5,DO -CA,DO24259581,135,15.75,254517,"2,021.00 €"
1197,"01,11,2013",CJ 98 CNT ,16.5,DO -CA,DO24259582,135,15.75,254518,"2,021.00 €"
1198,01.11.2013,B111TGT,16.5,CA-DO,CA20296807,135,15.75,254519,"2,021.00 €"
1199,01.11.2013,B111TGT,16.5,DO-CA,DO24259636,135,15.75,254520,"2,021.00 €"
1200,01.11.2013,B 134 TON,16.5,CA - DO ,CA20296908,135,15.75,258901,"2,021.00 €"
1201,01.11.2013,B 134 TON,16.5,DO - CA,DO24259766,135,15.75,258902,"2,021.00 €"
1202,02.11.2013,B 51 JPA,6,CA- DO,CA20297866,80,15.75,258903,"2,021.00 €"
1203,03.11.2013,GJ 14 ABS,16.5,CA - DO,CA20298292,135,15.75,258904,"2,021.00 €"
1204,03.11.2013,GJ 14 ABS,16.5,DO - CA,DO24262657,135,15.75,258905,"2,021.00 €"
1205,03.11.2013,IF 11 TDS,16.5,CA - DO,CA20298442,135,15.75,258906,"2,021.00 €"
1206,04.11.2013,CJ-14-FWH,16.5,DO - CA,DO24265312,135,15.75,258907,"2,021.00 €"
1207,04.11.2013,CJ 50 CNT,16.5,CA - DO,CA20300642,135,15.75,258908,"2,021.00 €"
1208,04.11.2013,CJ 52 CNT,16.5,CA - DO ,CA20300643,135,15.75,258909,"2,021.00 €"
1209,06.11.2013,IF 11 TDS,16.5,DO - CA,DO24269217,135,15.75,258910,"2,021.00 €"
1210,"07,11,20136",CJ-14-FWH,16.5,ca- do,CA20304390,135,15.75,258911,"2,021.00 €"
1211,07.11.2013,CJ 67 TOR,16.5,CA - DO,CA20304399,135,15.75,258912,"2,021.00 €"
1212,07.11.2013,CJ 67 TOR,16.5,DO - CA,DO24270565,135,15.75,258913,"2,021.00 €"
1213,07.11.2013,B 40 RJI,16.5,CA - DO,CA20304882,135,15.75,258914,"2,021.00 €"
1214,07.11.2013,B 40 RJI,16.5,DO - CA,DO24271130,135,15.75,258915,"2,021.00 €"
1215,07.11.2013,VL 16 ALB,6,DO - CA,DO24272064,80,14.56,258916,"2,021.00 €"
1216,,,,,,,,258917,
1217,"08,11,2013",CJ 50 CNT,16.5,DO -CA,DO24273063,135,15.75,258918,"2,021.00 €"
1218,"08,11,2013",CJ 43 CNT,16.5,DO -CA,DO24273064,135,15.75,258919,"2,021.00 €"
1219,"08,11,2013",CJ 22 CNT,16.5,DO-CA,DO24273065,135,15.75,258920,"2,021.00 €"
1220,"08,11,2013",SB 96 LAL,16.5,CA- DO,CA20306857,135,15.75,258921,"2,021.00 €"
1221,"08,11,2013",SB 96 LAL ,16.5,DO -CA,DO24273827,135,15.75,258922,"2,021.00 €"
1222,"08,11,2013",SB 91 LAL ,16.5,CA- DO,CA20306858,135,15.75,258923,"2,021.00 €"
1223,"08,11,2013",SB 91 LAL ,16.5,DO-CA,DO24273828,135,15.75,258924,"2,106.00 €"
1224,08.11.2013,CJ-14-FWH,16.5,DO - CA,DO24275024,135,15.75,258925,"2,021.00 €"
1225,08.11.2013,B-44-DTK,16.5,ca - do,CA20307866,135,15.75,258926,"2,021.00 €"
1226,11.11.2013,B-40-RJI,16.5,CA - DO,CA20309788,135,15.75,258927,"2,106.00 €"
1227,11.11.2013,B-40-RJI,16.5,DO - CA,DO24278019,135,15.75,258928,"2,021.00 €"
1228,11.11.2013,B 333 VAN ,16.5,CA - DO,CA20309824,135,15.75,258929,"2,021.00 €"
1229,11.11.2013,CJ49CNT,16.5,CA-DO,CA20309830,135,15.75,258930,"2,021.00 €"
1230,12.11.2013,B-40-RJI,16.5,CA - DO,CA20311342,135,15.75,258931,"2,021.00 €"
1231,12.11.2013,B-40-RJI,16.5,DO - CA,DO24280767,135,15.75,258932,"2,106.00 €"
1232,12.11.2013,B-44-DTK ,16.5,do -ca,DO24280805,135,15.75,258933,"2,021.00 €"
1233,12.11.2013,CJ-14-LNK,16.5,ca -do,CA20311370,135,15.75,258934,"2,021.00 €"
1234,13.11.2013,IF 08 TDS,16.5,DO - CA,DO24283691,135,15.75,258935,"2,106.00 €"
1235,"13,11,2013",AG 22 VLX,16.5,CA- DO,CA20313724,135,15.75,258936,"2,106.00 €"
1236,"13,11,2013",AG 22 VLX,16.5,DO -CA,DO24283702,135,15.75,258937,"2,106.00 €"
1237,"14,11,2013",CJ-14-LNK ,16.5,DO -CA,DO24286438,135,15.75,258938,"2,106.00 €"
1238,15.11.2013,B-38-EIB,16.5,CA - DO,CA20316265,135,15.75,258939,"2,106.00 €"
1239,"15,11,2013",CJ-15JZI,16.5,CA-DO,CA20316293,135,15.75,258940,"2,106.00 €"
1240,"15,11,2013",CJ 49 CNT,16.5,DO -CA,DO24288428,135,15.75,258941,"2,106.00 €"
1241,18.11.2013,CJ 44 CNT,16.5,CA- DO,CA20319640,135,15.75,258942,"2,106.00 €"
1242,18.11.2013,CJ 46 CNT,16.5,CA- DO,CA20319641,135,15.75,258943,"2,106.00 €"
1243,18.11.2013,CJ 50 CNT,16.5,CA- DO,CA20319642,135,15.75,258944,"2,106.00 €"
1244,18.11.2013,B 333 VAN ,16.5,CA- DO,CA20319643,135,15.75,258945,"2,106.00 €"
1245,"18,11,2013",CJ-15-JZI,16.5,DO -CA,DO24293827,135,15.75,258946,"2,106.00 €"
1246,"18,11,2013",CJ-14-ZSJ,16.5,DO- CA,DO24295212,135,15.75,258947,"2,106.00 €"
1247,"19,11,2013",HD77BET,16.5,CA- DO,CA20321674,135,15.75,258948,"2,106.00 €"
1248,"19,11,2013",HD77BET,16.5,DO -CA,DO24295424,135,15.75,258949,"2,106.00 €"
1249,"19,11,2013",B 38 EIB        ,16.5,DO -CA,DO24296337,135,15.75,258950,"2,106.00 €"
1250,"19,11,2013",CJ-15-JVV,16.5,CA- DO,CA20322477,135,15.75,258951,"2,106.00 €"
1251,"20,11,2013",AG 24 VLX,16.5,CA -DO,CA20323329,135,15.75,258952,"2,106.00 €"
1252,"20,11,2013",AG 24 VLX,16.5,DO-CA,DO24297681,135,15.75,258953,"2,106.00 €"
1253,"20,11,2013",AG 17 VLX,16.5,CA -DO,CA20323330,135,15.75,258954,"2,106.00 €"
1254,"20,11,2013",AG 17 VLX,16.5,DO -CA,DO24297682,135,15.75,258955,"2,106.00 €"
1255,20.11.2013,CJ 46 CNT,16.5,DO - CA,DO24297991,135,15.75,258956,"2,106.00 €"
1256,20.11.2013,IF 11 TDS,16.5,DO - CA,DO24298220,135,15.75,258957,"2,106.00 €"
1257,"21,11,2013",CJ 43 CNT,16.5,CA -DO,CA20325018,135,15.75,258958,"2,106.00 €"
1258,"213,112,013",CJ-15-JVV,16.5,DO- CA,DO24300212,135,15.75,258959,"2,106.00 €"
1259,"22,11,2013",MS 11 ECP,16.5,CA- DO,CA20326545,135,15.75,258960,"2,106.00 €"
1260,"22,11,2013",MS 11 ECP,16.5,DO -CA,DO24301904,135,15.75,258961,"2,106.00 €"
1261,22.11.2013,CJ 50 CNT,16.5,DO - CA,DO24302947,135,15.75,258962,"2,106.00 €"
1262,22.11.2013,CJ 52 CNT,16.5,DO - CA,DO24302948,135,15.75,258963,"2,106.00 €"
1263,23.11.2013,CJ 15 JVS,16.5,CA - DO,CA20329125,135,15.75,258964,"2,106.00 €"
1264,23.11.2013,CJ 13 NSZ,16.5,CA-DO,CA20329126,135,15.75,258965,"2,106.00 €"
1265,25.11.2013,B 40 RJI,16.5,CA - DO,CA20329875,135,15.75,258966,"2,106.00 €"
1266,25.11.2013,B 40 RJI,16.5,DO - CA,DO24306775,135,15.75,258967,"2,106.00 €"
1267,"25,11,2013",AB 01 KYM,16.5,CA- DO,CA20330499,135,15.75,258968,"2,106.00 €"
